SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -60, Beacon : 17
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 21
SSID : [air purifier]_E30AJT1013050N, BSSID : 88:57:1D:4B:E1:34, ch : 1 (2412MHz, 2.4GHz), PWR : -80, Beacon : 7
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -56, Beacon : 18
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -68, Beacon : 22
SSID : [air purifier]_E30AJT1013050N, BSSID : 88:57:1D:4B:E1:34, ch : 1 (2412MHz, 2.4GHz), PWR : -80, Beacon : 8
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 1 (2412MHz, 2.4GHz), PWR : -56, Beacon : 2
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -56, Beacon : 19
SSID : [air purifier]_E30AJT1013050N, BSSID : 88:57:1D:4B:E1:34, ch : 1 (2412MHz, 2.4GHz), PWR : -80, Beacon : 9
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -54, Beacon : 20
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -70, Beacon : 23
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 1 (2412MHz, 2.4GHz), PWR : -54, Beacon : 3
SSID : , BSSID : 00:08:DC:D1:09:9E, ch : 1 (2412MHz, 2.4GHz), PWR : -88, Beacon : 1
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -50, Beacon : 21
SSID : [air purifier]_E30AJT1013050N, BSSID : 88:57:1D:4B:E1:34, ch : 1 (2412MHz, 2.4GHz), PWR : -80, Beacon : 10
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -48, Beacon : 22
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -66, Beacon : 24
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 23
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 25
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 4
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 24
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 26
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 1 (2412MHz, 2.4GHz), PWR : -52, Beacon : 5
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -50, Beacon : 25
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -64, Beacon : 27
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 1 (2412MHz, 2.4GHz), PWR : -50, Beacon : 6
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -54, Beacon : 26
